lat,lon,landcover
59.2362001,11.87925099,AgriculturalArea
59.76757761,11.88848513,ForestNaturalAreas
58.90490883,11.89852989,Water
58.29746923,11.9075942,Water
59.7424346,11.93533627,ForestNaturalAreas
62.00180492,11.93998967,ForestNaturalAreas
62.2767964,11.94384147,ForestNaturalAreas
61.9197442,11.94598675,ForestNaturalAreas
60.535619,11.9528326,ForestNaturalAreas
61.22424511,11.95387936,ForestNaturalAreas
62.49860528,11.97865448,ForestNaturalAreas
59.27544263,11.97903335,ForestNaturalAreas
60.77664878,11.98186694,ForestNaturalAreas
60.61368862,11.98402464,ForestNaturalAreas
58.10375197,11.99250026,Water
60.84536762,11.9954315,ForestNaturalAreas
59.03271999,11.99958424,ForestNaturalAreas
62.41056864,12.01535804,ForestNaturalAreas
59.0117141,12.02186567,Water
60.48082437,12.02317765,ForestNaturalAreas
62.69987273,12.02407974,Water
60.92463351,12.03311949,ForestNaturalAreas
60.83086663,12.04064525,ForestNaturalAreas
61.90870518,12.04071974,ForestNaturalAreas
61.72906529,12.04899416,ForestNaturalAreas
62.47861952,12.05235939,Water
61.60344521,12.05406253,ForestNaturalAreas
59.33491776,12.05441149,Water
62.82321653,12.0555221,ForestNaturalAreas
59.9549752,12.06037483,ForestNaturalAreas
62.9891509,12.06568079,Water
60.91351086,12.10138933,ForestNaturalAreas
62.74214025,12.1057503,ForestNaturalAreas
61.32006212,12.11368594,ForestNaturalAreas
58.57237203,12.1182323,AgriculturalArea
61.20923661,12.12249422,ForestNaturalAreas
59.84211665,12.12816311,ForestNaturalAreas
61.12746058,12.13170461,ForestNaturalAreas
62.50461911,12.13173486,ForestNaturalAreas
62.55299139,12.13246279,Water
59.95734139,12.13413206,Water
62.99329332,12.13469587,Water
58.37259595,12.13523324,ForestNaturalAreas
58.28346812,12.14704478,Water
62.63568235,12.14970216,ForestNaturalAreas
58.09572576,12.16003074,Water
59.43942584,12.16108715,ForestNaturalAreas
61.44948065,12.16404754,ForestNaturalAreas
58.52308523,12.19672933,ForestNaturalAreas
61.39255838,12.19970109,ForestNaturalAreas
62.94484149,12.19998592,ForestNaturalAreas
58.71226779,12.20511322,ForestNaturalAreas
59.80982535,12.21595017,Water
61.21261587,12.21746321,ForestNaturalAreas
61.53148608,12.21857627,ForestNaturalAreas
58.51483078,12.21957926,ForestNaturalAreas
59.12804043,12.22729134,ForestNaturalAreas
61.64424436,12.23301267,ForestNaturalAreas
59.52420937,12.23789898,AgriculturalArea
61.03564877,12.24150587,ForestNaturalAreas
58.51002826,12.2531897,ForestNaturalAreas
58.33584046,12.2563676,ArtificialSurfaces
61.04551506,12.25785098,Water
58.97281253,12.25927316,ForestNaturalAreas
58.15659587,12.26268632,Water
58.74513867,12.26404289,AgriculturalArea
58.9981848,12.26637489,ForestNaturalAreas
62.04737776,12.29205538,ForestNaturalAreas
61.89292461,12.29263901,ForestNaturalAreas
62.81491547,12.29871933,ForestNaturalAreas
62.55423323,12.29941545,Water
60.26091962,12.30257427,ForestNaturalAreas
62.93474393,12.30332488,Water
59.36276423,12.31188313,ForestNaturalAreas
63.44767227,12.31255667,Water
60.06382162,12.31604811,ForestNaturalAreas
59.25653952,12.31708882,ForestNaturalAreas
63.13344091,12.31936642,Water
59.41411302,12.32360774,AgriculturalArea
58.41630132,12.33239973,ForestNaturalAreas
60.04621207,12.33859823,ForestNaturalAreas
63.37201467,12.33865436,Water
61.54717242,12.33927161,ForestNaturalAreas
58.12799237,12.35217651,Water
59.29719193,12.35518713,ForestNaturalAreas
58.09610699,12.35596718,Water
58.90105933,12.3588612,ForestNaturalAreas
59.13070514,12.36097877,ForestNaturalAreas
58.96255544,12.36421542,ForestNaturalAreas
62.93179828,12.37135356,Water
60.47043524,12.37213934,ForestNaturalAreas
62.7736401,12.37794035,AgriculturalArea
61.7192147,12.37863381,ForestNaturalAreas
59.72211528,12.38113774,ForestNaturalAreas
62.03233962,12.38238899,ForestNaturalAreas
58.04695705,12.38634167,Water
60.95436664,12.39295027,ForestNaturalAreas
58.32445572,12.40415026,Water
59.07431164,12.4066315,ForestNaturalAreas
60.3270179,12.40846618,ForestNaturalAreas
60.19514467,12.41736562,ForestNaturalAreas
61.06185565,12.42025547,ForestNaturalAreas
60.01978108,12.43266469,ForestNaturalAreas
59.47234305,12.43638905,ForestNaturalAreas
59.09984335,12.44212175,ForestNaturalAreas
58.73535183,12.45439285,ForestNaturalAreas
60.67465845,12.45980278,ForestNaturalAreas
61.53792189,12.46444273,ForestNaturalAreas
58.51850689,12.46450151,ForestNaturalAreas
62.90576214,12.46964205,Water
58.31358891,12.4726906,ForestNaturalAreas
58.17228509,12.47995831,ForestNaturalAreas
59.25906828,12.5049431,ForestNaturalAreas
63.10906241,12.50553206,Water
59.99293409,12.51894069,Water
60.58054758,12.52037879,ForestNaturalAreas
62.88212768,12.52587825,ForestNaturalAreas
62.13230166,12.52612343,ForestNaturalAreas
59.96827385,12.52800455,ForestNaturalAreas
59.21486078,12.53337423,ForestNaturalAreas
58.40830046,12.53764444,ForestNaturalAreas
62.8466537,12.5380965,ForestNaturalAreas
58.25642342,12.5382751,ForestNaturalAreas
63.15411173,12.54104132,Water
